timestamp,city,temperature,description

2025-12-09T10:47:06.203Z,Swindon,14.17,moderate rain
2025-12-09T10:47:11.248Z,Swindon,14.17,moderate rain
2025-12-09T12:08:07.349Z,London,13.97,broken clouds
2025-12-09T12:18:55.383Z,London,13.94,broken clouds
2025-12-09T12:26:15.705Z,London,13.94,broken clouds
2025-12-09T12:29:49.553Z,Swindon,13.52,light rain
2025-12-09T12:36:58.576Z,Swindon,13.92,moderate rain
2025-12-09T12:40:03.396Z,Swindon,14.33,overcast clouds
2025-12-09T14:11:38.043Z,Swindon,14.58,overcast clouds
2025-12-09T16:13:18.577Z,Swindon,14.65,overcast clouds
2025-12-09T18:12:33.938Z,Swindon,12.79,broken clouds
2025-12-09T20:09:43.464Z,Swindon,11.76,scattered clouds
2025-12-09T22:10:02.377Z,Swindon,10.5,clear sky
2025-12-10T00:46:20.796Z,Swindon,9.85,clear sky
2025-12-10T03:14:52.915Z,Swindon,9.58,clear sky
2025-12-10T04:22:51.938Z,Swindon,8.79,clear sky
2025-12-10T06:16:13.233Z,Swindon,9.58,clear sky
2025-12-10T08:14:22.272Z,Swindon,10.01,clear sky
2025-12-10T10:12:14.539Z,Swindon,11.07,scattered clouds
2025-12-10T12:18:54.213Z,Swindon,12.01,broken clouds
2025-12-10T14:13:00.310Z,Swindon,12.01,broken clouds
2025-12-10T16:14:14.218Z,Swindon,10.68,clear sky
2025-12-10T18:15:21.033Z,Swindon,8.6,clear sky
2025-12-10T20:11:39.737Z,Swindon,7.15,broken clouds
2025-12-10T22:10:00.057Z,Swindon,8.01,clear sky
2025-12-11T00:46:16.705Z,Swindon,7.03,clear sky
